epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.5217,1.52481,2.20384,1.28913,0.50746,0.46827,0.4508,0.24681,1.4588,2.23389,1.31285,0.000664825,0.000664825,0.000664825
2,147.03,1.57314,1.79938,1.31613,0.62074,0.49514,0.52734,0.28928,1.48661,1.58479,1.33672,0.00131831,0.00131831,0.00131831
3,216.553,1.55926,1.62594,1.32058,0.62336,0.52015,0.5587,0.3331,1.40713,1.56123,1.27986,0.00195859,0.00195859,0.00195859
4,285.433,1.50946,1.50266,1.30062,0.62848,0.53906,0.57395,0.34648,1.39672,1.42892,1.26717,0.0019406,0.0019406,0.0019406
5,352.406,1.47781,1.40932,1.28524,0.71079,0.54794,0.6123,0.39245,1.30339,1.30835,1.23886,0.0019208,0.0019208,0.0019208
6,420.431,1.42079,1.32955,1.24758,0.63959,0.57208,0.59791,0.37473,1.30406,1.34289,1.21829,0.001901,0.001901,0.001901
7,489.334,1.41783,1.28626,1.23291,0.69567,0.53682,0.60566,0.40015,1.23714,1.26672,1.18873,0.0018812,0.0018812,0.0018812
8,558.054,1.37238,1.23948,1.21386,0.72294,0.59221,0.66732,0.44438,1.202,1.1935,1.16762,0.0018614,0.0018614,0.0018614
9,625.81,1.35432,1.22536,1.20395,0.75906,0.60862,0.69048,0.47659,1.14657,1.10194,1.12901,0.0018416,0.0018416,0.0018416
10,692.622,1.33809,1.19164,1.19359,0.81463,0.59657,0.6928,0.46843,1.16653,1.12293,1.15092,0.0018218,0.0018218,0.0018218
11,758.981,1.33316,1.16253,1.194,0.751,0.64474,0.69549,0.47521,1.11345,1.08734,1.1194,0.001802,0.001802,0.001802
12,825.187,1.28274,1.12347,1.17365,0.80219,0.60669,0.70796,0.49117,1.13377,1.03223,1.12351,0.0017822,0.0017822,0.0017822
